NN_auc,NN_f1,RF_auc,RF_f1,SVM_auc,SVM_f1,XGB_auc,XGB_f1,base_f1
0.7676592797783934,0.5365853658536586,0.8694598337950139,0.5862068965517241,0.7941481994459835,0.6376811594202898,0.8486842105263159,0.6666666666666666,0.5
0.7059375,0.5476190476190477,0.76,0.6172839506172839,0.7718750000000001,0.6097560975609756,0.7537499999999999,0.5777777777777777,0.6097560975609756
0.7615089514066496,0.5581395348837209,0.7273017902813299,0.5277777777777778,0.7634271099744246,0.6329113924050633,0.7870843989769821,0.6436781609195402,0.575
0.7669753086419753,0.574468085106383,0.720679012345679,0.4444444444444444,0.8006172839506172,0.6,0.758641975308642,0.6538461538461539,0.6428571428571429
0.8028933092224232,0.6875,0.7497287522603978,0.5,0.8694394213381555,0.5573770491803278,0.7902350813743219,0.5245901639344263,0.4697986577181208
0.7566445182724252,0.5806451612903226,0.8359634551495017,0.5365853658536586,0.8127076411960132,0.64,0.8127076411960134,0.6545454545454545,0.39436619718309857
0.6952205882352941,0.4383561643835616,0.7150735294117646,0.4745762711864407,0.7397058823529412,0.42424242424242425,0.7022058823529412,0.5066666666666667,0.4594594594594595
0.6349646044936904,0.4175824175824176,0.7156048014773776,0.4418604651162791,0.7246845183133271,0.4772727272727273,0.682979378270237,0.5319148936170213,0.6666666666666666
0.7940199335548174,0.6101694915254238,0.8205980066445183,0.46808510638297873,0.875,0.5384615384615384,0.768687707641196,0.4642857142857143,0.39436619718309857
0.7091787439613527,0.6666666666666666,0.7191626409017713,0.3870967741935484,0.7494363929146538,0.5352112676056338,0.7439613526570048,0.5333333333333333,0.5660377358490566
0.7676767676767677,0.5517241379310345,0.7931163486719043,0.6101694915254238,0.7759072203516649,0.49122807017543857,0.7527123082678638,0.5333333333333333,0.4489795918367347
0.7202702702702702,0.4594594594594595,0.777027027027027,0.4745762711864407,0.7993243243243243,0.5070422535211268,0.7885135135135135,0.5277777777777778,0.5194805194805194
0.7882528993640106,0.5172413793103449,0.809951365506921,0.5964912280701754,0.8028432472876919,0.5806451612903226,0.7684249906472129,0.5757575757575758,0.4489795918367347
0.6130198915009041,0.49230769230769234,0.7851717902350813,0.39285714285714285,0.776491862567812,0.42857142857142855,0.7605786618444846,0.5084745762711864,0.4697986577181208
0.7615115909812639,0.55,0.7948555096856145,0.4927536231884058,0.8150206414734836,0.56,0.742775484280724,0.5783132530120482,0.5838509316770186
0.774017094017094,0.56,0.7442735042735042,0.5806451612903226,0.8085470085470085,0.46875,0.7193162393162393,0.4927536231884058,0.5098039215686274
0.7240028490028491,0.5316455696202531,0.7286324786324787,0.4838709677419355,0.7802706552706553,0.5588235294117647,0.763888888888889,0.5538461538461539,0.48
0.8086956521739129,0.5277777777777778,0.7281803542673108,0.417910447761194,0.8367149758454105,0.5205479452054794,0.7462157809983897,0.5194805194805194,0.5660377358490566
