NN_auc,NN_f1,RF_auc,RF_f1,SVM_auc,SVM_f1,XGB_auc,XGB_f1,base_f1
0.6703506097560975,0.0,0.6974085365853658,0.4918032786885246,0.7137957317073171,0.4166666666666667,0.6680640243902439,0.2807017543859649,0.4383561643835616
0.5916666666666667,0.0,0.7634920634920636,0.42105263157894735,0.7761904761904762,0.32558139534883723,0.7063492063492064,0.24,0.4166666666666667
0.5755926933540614,0.0,0.6863583365720948,0.5217391304347826,0.750097162844928,0.48,0.6859696851923824,0.3103448275862069,0.42758620689655175
0.6931063122923589,0.0,0.7254983388704319,0.48148148148148145,0.768687707641196,0.42857142857142855,0.6794019933554817,0.2962962962962963,0.39436619718309857
0.7108725761772854,0.0,0.6305401662049862,0.5789473684210527,0.6759002770083102,0.4,0.6308864265927978,0.3287671232876712,0.5
0.7041067041067042,0.0,0.767988767988768,0.5507246376811594,0.7616707616707618,0.43636363636363634,0.7704457704457706,0.38095238095238093,0.4900662251655629
0.5413393191170969,0.0,0.7104377104377104,0.46875,0.6722783389450057,0.391304347826087,0.6902356902356903,0.25806451612903225,0.4489795918367347
0.5865168539325842,0.0,0.7510112359550561,0.4230769230769231,0.7469662921348315,0.3125,0.6782022471910112,0.13953488372093023,0.3597122302158273
0.5131766381766383,0.0,0.6477920227920227,0.4675324675324675,0.6235754985754987,0.41509433962264153,0.6691595441595442,0.3235294117647059,0.48
0.49381891079184764,0.0,0.6698964249916471,0.45,0.708319411961243,0.3018867924528302,0.6501837621115937,0.24615384615384617,0.5290322580645161
0.45049857549857547,0.0,0.7197293447293447,0.5,0.7133190883190883,0.3673469387755102,0.6844729344729346,0.32786885245901637,0.48
0.6276972624798712,0.0,0.6901771336553946,0.34782608695652173,0.6904991948470209,0.32786885245901637,0.6853462157809984,0.24242424242424243,0.5660377358490566
0.56875,0.0,0.7801470588235294,0.5633802816901409,0.7496323529411765,0.4,0.776470588235294,0.38095238095238093,0.4594594594594595
0.7032427120864723,0.0,0.7513920733704552,0.6666666666666666,0.7307566328201769,0.49230769230769234,0.7317392728463806,0.4533333333333333,0.5477707006369427
0.4917328042328042,0.0,0.7490079365079365,0.6823529411764706,0.7642195767195767,0.3548387096774194,0.7314814814814815,0.4057971014492754,0.5384615384615384
